,p_q,AIC
753,"(28, 8)",179.2639728509398
754,"(20, 16)",179.26907550584613
755,"(19, 25)",179.27240354424052
756,"(28, 9)",179.29660053549077
757,"(9, 32)",179.33146916871422
758,"(12, 30)",179.33400452402526
759,"(13, 29)",179.39097299112615
760,"(19, 16)",179.42639678337903
761,"(34, 1)",179.4422133961669
762,"(17, 24)",179.44573056136403
763,"(21, 16)",179.54919253039304
764,"(23, 25)",179.56968009862987
765,"(11, 33)",179.64473859226445
766,"(28, 11)",179.6449207599648
767,"(22, 24)",179.6547718563752
768,"(21, 24)",179.66622647202865
769,"(24, 24)",179.69521498575182
770,"(20, 19)",179.72665935602538
771,"(17, 23)",179.79064555064411
772,"(30, 6)",179.93795948939209
773,"(19, 11)",180.0008598912244
774,"(31, 11)",180.02441063341502
775,"(35, 1)",180.0326505133518
776,"(33, 1)",180.07791332528754
